time,Hesperocyoninae,Borophaginae,Caninae,Amphicyonidae,Nimravidae,Felidae,Barbourofelidae,Ursidae
21,16,19,1,12,2,1,0,1
20.9,16,20,1,12,2,1,0,1
20.8,17,20,1,12,2,1,0,0
20.7,17,20,1,12,2,1,0,0
20.6,17,21,1,11,2,1,0,0
20.5,17,21,1,13,2,1,0,0
20.4,16,22,1,13,2,1,0,0
20.3,16,22,1,15,2,1,0,0
20.2,16,22,1,14,2,1,0,0
20.1,16,22,1,14,2,1,0,0
20,16,22,1,14,2,1,0,0
19.9,16,22,1,14,2,1,0,0
19.8,15,22,1,14,2,1,0,0
19.7,15,21,1,14,2,1,0,0
19.6,15,21,1,14,2,1,0,0
19.5,15,21,1,14,2,1,0,0
19.4,15,19,1,14,1,1,0,0
19.3,15,19,1,14,1,1,0,0
19.2,15,19,1,13,1,1,0,0
19.1,15,19,1,14,1,1,0,0
19,13,20,1,14,1,1,0,0
18.9,11,21,1,14,1,1,0,0
18.8,11,21,1,13,1,1,0,0
18.7,11,21,1,13,1,1,0,0
18.6,11,21,1,11,1,1,0,0
18.5,11,21,1,11,0,1,0,1
18.4,11,21,1,11,0,1,0,0
18.3,11,20,1,11,0,1,0,0
18.2,9,21,1,10,0,1,0,0
18.1,9,23,1,10,0,1,0,0
18,8,22,1,10,0,1,0,0
17.9,8,23,1,10,0,1,0,0
17.8,8,23,1,10,0,1,0,1
17.7,8,24,1,8,0,1,0,1
17.6,7,24,1,8,0,1,0,1
17.5,7,24,1,8,0,1,0,1
17.4,7,25,2,8,0,1,0,1
17.3,7,26,2,8,0,2,0,1
17.2,7,27,2,8,0,2,0,1
17.1,6,27,2,9,0,2,0,1
17,6,28,2,9,0,2,0,1
16.9,6,29,2,9,0,2,0,1
16.8,6,29,2,9,0,3,0,1
16.7,6,29,2,10,0,3,0,1
16.6,6,30,2,10,0,3,0,1
16.5,6,28,2,10,0,3,0,1
16.4,6,29,2,10,0,3,0,1
16.3,6,29,2,10,0,3,0,1
16.2,6,28,1,9,0,3,0,1
16.1,6,28,1,9,0,3,0,1
16,6,28,1,9,0,3,0,1
15.9,6,28,1,9,0,3,0,1
15.8,5,28,1,9,0,3,0,1
15.7,5,28,1,9,0,3,0,1
15.6,5,28,1,9,0,3,0,1
15.5,5,29,1,9,0,4,0,1
15.4,5,29,1,8,0,4,0,1
15.3,5,29,1,8,0,4,0,2
15.2,5,28,1,8,0,4,1,3
15.1,5,29,1,8,0,4,2,3
15,5,29,1,7,0,4,2,2
14.9,5,30,1,7,0,4,2,1
14.8,5,30,1,7,0,4,3,1
14.7,4,30,1,7,0,4,3,1
14.6,4,31,1,6,0,4,3,1
14.5,4,31,1,6,0,4,3,3
14.4,4,30,1,6,0,5,3,3
14.3,4,30,1,6,0,6,4,3
14.2,3,30,1,6,0,6,4,3
14.1,3,31,1,6,0,6,4,3
14,3,32,1,6,0,5,4,3
13.9,2,32,1,6,0,5,4,3
13.8,2,32,1,6,0,5,4,3
13.7,2,33,1,6,0,5,4,3
13.6,1,32,2,6,0,5,4,3
13.5,1,31,2,6,0,5,4,3
13.4,1,31,2,6,0,5,4,3
13.3,1,31,2,6,0,5,4,1
13.2,1,31,2,6,0,5,4,1
13.1,1,30,2,6,0,5,4,1
13,1,26,2,6,0,6,4,1
12.9,1,25,2,6,0,6,4,1
12.8,1,25,2,6,0,6,4,1
12.7,1,25,2,6,0,6,4,1
12.6,1,24,2,6,0,6,4,1
12.5,1,23,2,6,0,6,4,1
12.4,1,23,2,6,0,6,4,1
12.3,1,23,3,6,0,5,4,1
12.2,1,22,3,5,0,5,4,1
12.1,1,22,3,5,0,5,4,1
12,1,22,3,5,0,6,4,1
